n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.0,25.0,75
3,10.0,25.0,250
4,14.0,25.0,350
5,17.08,25.0,426
6,17.48,25.0,437
7,18.76,25.0,469
8,23.88,25.0,597
9,28.84,25.0,721
10,33.8,25.0,844
11,38.2,25.0,955
12,41.84,25.0,1046
13,48.84,25.0,1221
14,52.84,25.0,1321
15,58.76,25.0,1469
16,64.72,25.0,1618
17,70.36,25.0,1759
18,75.44,25.0,1886
19,81.24,25.0,2030
20,85.72,25.0,2143
21,86.72,25.0,2168
22,88.16,25.0,2204
23,92.68,25.0,2317
24,95.16,25.0,2379
25,101.4,25.0,2535
26,104.4,25.0,2610
27,107.32,25.0,2683
28,110.24,25.0,2756
29,117.24,25.0,2931
30,120.44,25.0,3011
31,126.16,25.0,3154
32,129.16,25.0,3229
33,134.64,25.0,3365
34,138.2,25.0,3454
35,141.52,25.0,3538
36,148.52,25.0,3713
37,155.36,25.0,3884
38,162.28,25.0,4057
39,167.52,25.0,4188
40,170.12,25.0,4253
41,171.44,25.0,4286
42,175.28,25.0,4382
43,178.44,25.0,4461
44,181.72,25.0,4543
45,185.6,25.0,4640
46,188.68,25.0,4717
47,191.96,25.0,4799
48,193.32,25.0,4833
49,196.92,25.0,4923
50,200.28,25.0,5007
51,204.24,25.0,5106
52,208.48,25.0,5212
53,215.48,25.0,5387
54,219.48,25.0,5487
55,225.96,25.0,5649
56,230.52,25.0,5763
57,234.32,25.0,5858
58,236.92,25.0,5923
59,238.48,25.0,5962
60,242.52,25.0,6063
61,245.92,25.0,6148
62,249.52,25.0,6238
63,250.52,25.0,6263
64,251.44,25.0,6286
65,253.72,25.0,6343
66,255.2,25.0,6380
67,260.24,25.0,6506
68,261.84,25.0,6545
69,267.12,25.0,6678
70,268.4,25.0,6709
71,272.68,25.0,6817
72,276.16,25.0,6904
73,278.68,25.0,6967
74,283.24,25.0,7081
75,284.48,25.0,7112
76,285.96,25.0,7148
77,291.08,25.0,7277
78,292.12,25.0,7303
79,296.92,25.0,7423
80,299.32,25.0,7483
81,301.84,25.0,7545
82,308.52,25.0,7713
83,309.72,25.0,7743
84,315.52,25.0,7888
85,319.72,25.0,7993
86,322.88,25.0,8072
87,328.6,25.0,8215
88,334.04,25.0,8351
89,338.56,25.0,8464
90,341.04,25.0,8526
91,344.52,25.0,8613
92,350.92,25.0,8773
93,356.68,25.0,8917
94,359.76,25.0,8994
95,366.48,25.0,9162
96,370.8,25.0,9270
97,374.2,25.0,9355
98,375.12,25.0,9378
99,381.0,25.0,9525
100,383.32,25.0,9583
101,385.36,25.0,9634
102,387.48,25.0,9687
103,394.48,25.0,9862
104,397.64,25.0,9941
105,403.64,25.0,10091
106,407.92,25.0,10198
107,409.92,25.0,10248
108,413.6,25.0,10340
109,416.72,25.0,10418
110,422.12,25.0,10553
111,426.12,25.0,10653
112,429.4,25.0,10735
113,433.8,25.0,10845
114,440.8,25.0,11020
115,444.44,25.0,11111
116,451.44,25.0,11286
117,457.88,25.0,11447
118,460.92,25.0,11523
119,464.32,25.0,11608
120,471.0,25.0,11775
121,475.32,25.0,11883
122,482.32,25.0,12058
123,485.32,25.0,12133
124,488.68,25.0,12217
125,493.48,25.0,12337
126,499.36,25.0,12484
127,504.8,25.0,12620
128,509.2,25.0,12730
129,512.36,25.0,12809
130,518.76,25.0,12969
131,520.16,25.0,13004
132,525.12,25.0,13128
133,528.12,25.0,13203
134,532.44,25.0,13311
135,539.2,25.0,13480
136,542.8,25.0,13569
137,549.8,25.0,13744
138,554.36,25.0,13859
139,560.24,25.0,14006
140,562.56,25.0,14063
141,565.92,25.0,14147
142,567.8,25.0,14194
143,570.8,25.0,14269
144,574.92,25.0,14372
145,578.44,25.0,14461
146,581.0,25.0,14525
147,586.56,25.0,14663
148,592.08,25.0,14802
149,595.64,25.0,14891
150,599.28,25.0,14982
151,601.12,25.0,15028
152,606.36,25.0,15159
153,606.92,25.0,15172
154,609.48,25.0,15237
155,612.68,25.0,15316
156,612.8,25.0,15319
157,618.44,25.0,15461
158,625.44,25.0,15636
159,632.12,25.0,15803
160,637.92,25.0,15947
161,640.92,25.0,16022
162,646.4,25.0,16160
163,647.48,25.0,16187
164,649.2,25.0,16230
165,653.12,25.0,16328
166,660.12,25.0,16503
167,663.56,25.0,16589
168,666.84,25.0,16671
169,673.2,25.0,16830
170,676.24,25.0,16906
171,681.16,25.0,17029
172,688.16,25.0,17204
173,695.16,25.0,17379
174,701.8,25.0,17545
175,705.8,25.0,17645
176,710.16,25.0,17754
177,713.2,25.0,17830
178,715.48,25.0,17887
179,717.2,25.0,17930
180,720.12,25.0,18003
181,722.88,25.0,18072
182,724.32,25.0,18108
183,726.2,25.0,18155
184,728.04,25.0,18201
185,729.56,25.0,18239
186,731.56,25.0,18289
187,733.6,25.0,18340
188,734.6,25.0,18365
189,736.52,25.0,18413
190,740.52,25.0,18513
191,747.48,25.0,18687
192,754.44,25.0,18861
193,758.0,25.0,18950
194,759.64,25.0,18991
195,761.68,25.0,19042
196,764.64,25.0,19116
197,768.0,25.0,19200
198,768.96,25.0,19224
199,770.16,25.0,19254
200,771.44,25.0,19286
201,772.12,25.0,19303
202,773.76,25.0,19344
203,776.56,25.0,19414
204,779.56,25.0,19489
205,782.2,25.0,19555
206,784.12,25.0,19603
